Reporting starts,Reporting ends,Campaign name,Campaign delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Impressions,Reach,Ends,Attribution setting,Total messaging contacts,New messaging contacts,Purchases,Cost per purchase (USD)
2/27/2023,3/27/2026,Instagram post: Intorduncing Little Lunchbox Co...,inactive,12,actions:onsite_conversion.messaging_conversation_started_7d,0.5,6,Lifetime,6,3736,3023,3/5/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Check out the different modes you...,inactive,12,actions:onsite_conversion.messaging_conversation_started_7d,0.5,6,Lifetime,6,3354,2656,3/13/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Mix and Match new items at...,inactive,10,actions:onsite_conversion.messaging_conversation_started_7d,0.6,6,Lifetime,6,3702,2715,3/22/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: What do you think about these...,inactive,7,actions:onsite_conversion.messaging_conversation_started_7d,0.57142857,4,Lifetime,4,1862,1503,4/11/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Dive into Space with Lunch Punch...,inactive,3,actions:onsite_conversion.messaging_conversation_started_7d,1.33333333,4,Lifetime,4,1917,1341,4/11/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: We would love to see you there😍,inactive,2,actions:onsite_conversion.messaging_conversation_started_7d,1.5,3,Lifetime,3,1284,1021,5/21/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,منشور Instagram: ‏‎Lebanon’s #1 destination for...,inactive,10,actions:onsite_conversion.messaging_conversation_started_7d,0.3,3,Lifetime,3,2112,1777,7/3/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,منشور Instagram: ‏‎The bestselling Omiebox and...,inactive,18,actions:onsite_conversion.messaging_conversation_started_7d,0.33333333,6,Lifetime,6,2968,2313,7/5/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,منشور Instagram: ‏‎We are happy to announce that...,inactive,22,actions:onsite_conversion.messaging_conversation_started_7d,0.18181818,4,Lifetime,4,1889,1550,7/27/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: We are happy to announce that...,inactive,16,actions:onsite_conversion.messaging_conversation_started_7d,0.25,4,Lifetime,4,1980,1646,8/7/2023,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Now is your chance to purchase...,inactive,76,actions:link_click,0.02631579,2,Lifetime,2,1200,1073,1/30/2024,7-day click or 1-day view,2,2,,
2/27/2023,3/27/2026,"Instagram post: Pack with Assem 
.
....",inactive,3,actions:onsite_conversion.messaging_conversation_started_7d,2.52,15,Lifetime,7.56,1845,1591,4/2/2024,7-day click or 1-day view,4,2,,
2/27/2023,3/27/2026,Instagram post: Let's talk organic with Urth...,inactive,196,actions:link_click,0.05102041,10,Lifetime,10,4836,3981,4/2/2024,7-day click or 1-day view,1,1,,
2/27/2023,3/27/2026,Instagram post: Let's talk organic with Urth...,inactive,78,actions:link_click,0.05884615,10,Lifetime,4.59,2481,2334,4/5/2024,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Do you overpack your child’s...,completed,267,actions:link_click,0.03741573,10,Lifetime,9.99,5527,5072,4/15/2024,7-day click or 1-day view,10,9,,
