product_title,total_revenue,total_units,months_active,cumulative_revenue,revenue_pct,cumulative_pct,product_rank,product_pct,abc_class
Omiebox Bentobox Pink Berry,28882.67,492,37,28882.67,7.8422622639620565,7.8422622639620565,1,0.6134969325153374,A
Omiebox Bentobox Blue Sky,24278.41,409,37,53161.08,6.592107259197263,14.43436952315932,2,1.2269938650306749,A
OmiePod fork & spoon set,20405.97,1160,41,73567.05,5.540657026879503,19.975026550038823,3,1.8404907975460123,A
OmieDip (set of 2),20042.92,1012,40,93609.97,5.4420811917876835,25.417107741826506,4,2.4539877300613497,A
Omiebox Bentobox Purple Plum,18083.0,291,37,111692.97,4.909921019047958,30.327028760874462,5,3.067484662576687,A
OmieBox Pastel,15032.77,215,5,126725.74,4.0817183762381,34.40874713711256,6,3.6809815950920246,A
Yumbox Tapas 5 Compartments (Large),12811.6,292,34,139537.34,3.478623244352973,37.88737038146554,7,4.294478527607362,A
Omiebox Bentobox Green Meadow,11690.8,190,32,151228.13999999998,3.174302087567652,41.061672469033184,8,4.9079754601226995,A
MontiiCo 700ml Water Bottle,10738.22,289,28,161966.36,2.915656256437602,43.97732872547079,9,5.521472392638037,A
Yumbox Panino 4 Compartments (Medium),9613.01,269,33,171579.37,2.6101376903897697,46.58746641586056,10,6.134969325153374,A
MontiiCo 475ml Water Bottle,9599.17,320,28,181178.54,2.6063798345636555,49.19384625042422,11,6.748466257668712,A
OmieBox UP,9243.029999999999,141,18,190421.57,2.5096802121711463,51.70352646259536,12,7.361963190184049,A
OmieTote,8965.88,268,25,199387.45,2.4344280631677098,54.13795452576308,13,7.975460122699387,A
Montiico Large insulated Lunch bag,8567.89,275,35,207955.34000000003,2.326365271243201,56.46431979700628,14,8.588957055214724,A
Yumbox Tapas 4 Compartments (Large),8285.19,188,32,216240.53000000003,2.249606178610073,58.713925975616355,15,9.202453987730062,A
Name Customization,8278.02,488,31,224518.55000000002,2.247659370353336,60.961585345969695,16,9.815950920245399,A
MontiiCo Original Bottle 600ml,8273.14,240,20,232791.69,2.246334346044706,63.20791969201439,17,10.429447852760736,A
Yumbox Zuppa (spoon included),8183.8,236,31,240975.49,2.2220766264272895,65.42999631844168,18,11.042944785276074,A
Yumbox Presto,7955.48,145,19,248930.97,2.1600828661513933,67.59007918459308,19,11.65644171779141,A
Montiico Backpack,7652.82,180,33,256583.79,2.077904206878869,69.66798339147195,20,12.269938650306749,A
Yumbox Original 6 Compartments (Medium),7587.8,225,33,264171.59,2.060249887094624,71.72823327856658,21,12.883435582822086,A
Omiebox Bentobox Yellow Sunshine,7369.91,128,31,271541.5,2.00108809475705,73.72932137332361,22,13.496932515337424,A
OmieSnack,5192.25,328,35,276733.75,1.4098068578859568,75.13912823120957,23,14.11042944785276,A
OmieBottle,5189.8,259,23,281923.55,1.4091416305178948,76.54826986172748,24,14.723926380368098,A
Omiebox Bentobox Scooter Red,4692.599999999999,86,27,286616.14999999997,1.27414120300749,77.82241106473495,25,15.337423312883436,A
OmiePod UP,4477.04,193,8,291093.18999999994,1.2156120554730117,79.03802312020795,26,15.950920245398773,A
Bento Three + (Large),4421.13,136,23,295514.31999999995,1.200431295412459,80.23845441562042,27,16.56441717791411,B
ThermoFlask Water Bottle,4360.86,131,24,299875.17999999993,1.1840667021581306,81.42252111777854,28,17.177914110429448,B
Yumbox Prêt,3954.0699999999997,70,5,303829.24999999994,1.0736145221360922,82.49613563991464,29,17.791411042944784,B
Bento Three (Medium),3682.51,148,24,307511.75999999995,0.9998801776173365,83.49601581753198,30,18.404907975460123,B
MontiiCo 350ml Water Bottle,3148.66,143,28,310660.4199999999,0.8549284917234717,84.35094430925544,31,19.018404907975462,B
Yumbox Snack,3135.7,152,25,313796.11999999994,0.8514095747071105,85.20235388396256,32,19.631901840490798,B
Bento Five (Medium),1915.93,77,26,315712.04999999993,0.5202159474658272,85.72256983142837,33,20.245398773006134,B
Montiico insulated medium lunch bag,1730.57,80,22,317442.61999999994,0.4698867454478695,86.19245657687625,34,20.858895705521473,B
MontiiCo Mini Bottle 350ml,1668.18,78,12,319110.79999999993,0.45294652687913634,86.64540310375538,35,21.472392638036812,B
