Product,Variant,ABC_Class,Total_Revenue,Avg_Monthly_Demand,Std_Monthly_Demand,Demand_Variability,Safety_Stock,Reorder_Point,Recommended_Monthly_Stock
Omiebox Bentobox Pink Berry,Default Title,A,28882.67,13.297297297297296,16.399296842759355,High,22.0,28.0,35.0
Omiebox Bentobox Blue Sky,Default Title,A,24278.41,11.054054054054054,14.999899899565898,High,20.0,25.0,31.0
Omiebox Bentobox Purple Plum,Default Title,A,18083.0,7.864864864864865,7.927316213091437,High,11.0,15.0,19.0
Omiebox Bentobox Green Meadow,Default Title,A,11690.8,5.9375,6.7772746449368,High,10.0,13.0,16.0
Omiebox Bentobox Yellow Sunshine,Default Title,A,7369.91,4.129032258064516,3.853500014998235,Medium,5.0,7.0,9.0
Name Customization,Small/Medium,A,7233.19,14.129032258064516,15.250665418234208,High,20.0,27.0,34.0
OmiePod fork & spoon set,Bubble Pink,A,6367.12,9.325,11.266896143923075,High,16.0,20.0,25.0
OmieDip (set of 2),Pink/Teal,A,6102.82,9.371428571428572,11.601434278179761,High,16.0,20.0,25.0
OmieDip (set of 2),Blue/Lime,A,5659.92,7.684210526315789,9.606037693591308,High,13.0,17.0,21.0
Omiebox Bentobox Scooter Red,Default Title,A,4692.599999999999,3.185185185185185,3.2348705483198965,High,5.0,6.0,8.0
OmieBox Pastel,Pixie Pink,A,4251.58,13.0,7.745966692414834,Medium,11.0,17.0,24.0
OmiePod fork & spoon set,Lilac Purple,A,4105.41,6.378378378378378,6.456484042122786,High,8.0,11.0,14.0
OmiePod fork & spoon set,Capri Blue,A,3928.4100000000003,6.228571428571429,8.278553846023627,High,11.0,14.0,17.0
OmieBox Pastel,Lilac Purple,A,3565.68,10.4,5.89915248150105,Medium,8.0,13.0,18.0
OmieDip (set of 2),Purple/Orange,A,3524.45,7.24,10.76754382391825,High,14.0,17.0,21.0
OmieBox Pastel,Sea Blue,A,3255.78,9.0,6.363961030678928,Medium,8.0,12.0,17.0
Yumbox Zuppa (spoon included),Neptune Blue,A,3221.79,4.136363636363637,3.8581448113415058,Medium,5.0,7.0,9.0
OmiePod fork & spoon set,Sunrise Yellow,A,3052.49,5.793103448275862,7.042621824824026,High,10.0,13.0,16.0
OmiePod fork & spoon set,Mint Green,A,2952.54,4.714285714285714,5.474923736086776,High,7.0,9.0,12.0
Yumbox Zuppa (spoon included),Bijoux Purple,A,2799.92,3.3076923076923075,3.003587598445975,Medium,4.0,6.0,7.0
OmieTote,Pink,A,2726.73,5.0588235294117645,4.561668941233215,Medium,6.0,8.0,11.0
Yumbox Tapas 5 Compartments (Large),Capri Pink,A,2684.73,2.5714285714285716,2.5213375135318277,Medium,4.0,5.0,7.0
OmieTote,Blue,A,2546.93,4.411764705882353,3.6752350865184757,Medium,5.0,7.0,9.0
MontiiCo 475ml Water Bottle,Floss,A,2416.83,4.15,4.283075628809893,High,6.0,8.0,10.0
OmieBox Pastel,Apple Green,A,2253.46,6.2,3.96232255123179,Medium,5.0,8.0,11.0
OmieBox UP,Cherry Pink,A,2185.56,2.6923076923076925,2.562050460881394,Medium,4.0,5.0,7.0
MontiiCo 475ml Water Bottle,Calypso,A,2160.32,3.764705882352941,4.58979046042281,High,6.0,8.0,10.0
OmieTote,Purple,A,2139.28,3.6470588235294117,3.1611148442952097,Medium,5.0,7.0,9.0
