product_title,train_months,holdout,actual_units,forecast_units,mae,mape,mase,forecast_method
OmiePod fork & spoon set,35,2025-07 – 2025-09,194,227,28.8,45.6,1.265,Seasonal ETS
OmieDip (set of 2),35,2025-07 – 2025-09,186,175,3.6,6.1,0.202,Seasonal ETS
Omiebox Bentobox Pink Berry,35,2025-07 – 2025-09,88,121,22.5,125.5,2.19,Seasonal ETS
Name Customization,25,2025-07 – 2025-09,70,120,16.7,86.4,1.403,Seasonal ETS
Omiebox Bentobox Blue Sky,35,2025-07 – 2025-09,102,65,25.1,75.3,2.712,Seasonal ETS
"Small Bumper -350ML, 475ML, 700ML",22,2025-07 – 2025-09,45,110,27.3,249.7,2.11,Seasonal Index
OmieSnack,32,2025-07 – 2025-09,34,81,17.1,338.8,2.033,Seasonal ETS
MontiiCo 475ml Water Bottle,22,2025-07 – 2025-09,30,69,19.2,275.4,1.879,Seasonal Index
Yumbox Tapas 5 Compartments (Large),35,2025-07 – 2025-09,56,48,2.6,12.0,0.414,Seasonal ETS
Omiebox Bentobox Purple Plum,35,2025-07 – 2025-09,54,45,9.4,64.4,1.663,Seasonal ETS
MontiiCo 700ml Water Bottle,22,2025-07 – 2025-09,20,36,8.3,328.8,1.135,Seasonal Index
Montiico Large insulated Lunch bag,35,2025-07 – 2025-09,51,44,9.8,66.9,1.422,Seasonal ETS
Yumbox Panino 4 Compartments (Medium),35,2025-07 – 2025-09,54,53,1.1,9.1,0.166,Seasonal ETS
OmieTote,23,2025-07 – 2025-09,66,20,15.6,57.6,2.094,Seasonal Index
OmieBottle,17,2025-07 – 2025-09,84,44,13.4,52.1,1.664,Seasonal Index
Omiebox divider,34,2025-07 – 2025-09,50,49,0.4,2.5,0.096,Seasonal ETS
Yumbox Zuppa (spoon included),35,2025-07 – 2025-09,43,41,2.9,48.3,0.504,Seasonal ETS
Yumbox Original 6 Compartments (Medium),35,2025-07 – 2025-09,27,46,7.1,107.4,1.077,Seasonal ETS
Stix (Set of 4),35,2025-07 – 2025-09,32,31,2.0,15.3,0.484,Seasonal ETS
Omiebox Bentobox Green Meadow,35,2025-07 – 2025-09,37,35,10.9,288.5,2.629,Seasonal ETS
Silicone Cups (Set of 3),35,2025-07 – 2025-09,25,25,2.4,26.1,0.491,Seasonal ETS
Yumbox Tapas 4 Compartments (Large),35,2025-07 – 2025-09,29,39,4.0,38.9,0.78,Seasonal ETS
Montiico Backpack,35,2025-07 – 2025-09,17,39,7.2,133.9,1.367,Seasonal ETS
Yumbox Snack,27,2025-07 – 2025-09,35,36,4.5,37.7,0.825,Seasonal ETS
Bento Three (Medium),29,2025-07 – 2025-09,22,28,6.7,119.6,1.295,Seasonal ETS
Yumbox Presto,26,2025-07 – 2025-09,5,56,17.0,749.0,2.979,Seasonal ETS
MontiiCo 350ml Water Bottle,22,2025-07 – 2025-09,10,42,10.8,736.5,2.353,Seasonal Index
OmieBox UP,16,2025-07 – 2025-09,70,25,15.2,54.0,2.584,Seasonal Index
Stix (Set of 7),34,2025-07 – 2025-09,24,29,1.7,36.4,0.512,Seasonal ETS
Bento Three + (Large),30,2025-07 – 2025-09,19,37,7.5,138.9,1.737,Seasonal ETS
Omiebox Bentobox Yellow Sunshine,35,2025-07 – 2025-09,15,27,4.4,143.6,1.446,Seasonal ETS
MontiiCo Drink Bottle Lid (Old Design),34,2025-07 – 2025-09,5,18,4.2,191.0,1.541,Seasonal ETS
Mini Fork and Spoon (Set of 6),35,2025-07 – 2025-09,23,19,5.2,60.5,1.485,Seasonal ETS
Omiebox Lid Seal,23,2025-07 – 2025-09,26,24,1.1,13.4,0.353,Seasonal Index
Lunch Punch Set of 2 Sandwich Cutters,32,2025-07 – 2025-09,38,21,6.0,43.1,2.05,Seasonal ETS
Silicone Wrap Bands (Set of 5),34,2025-07 – 2025-09,15,14,1.6,31.6,0.747,Seasonal ETS
MontiiCo Drink Bottle Lid- Free Pour (Original Design),34,2025-07 – 2025-09,5,15,3.3,119.8,1.139,Seasonal ETS
MontiiCo Mini Smoothie Cup 275ml,30,2025-07 – 2025-09,5,23,6.1,291.1,1.968,Seasonal ETS
Omiebox Bentobox Scooter Red,30,2025-07 – 2025-09,8,23,5.0,425.5,2.298,Seasonal ETS
MontiiCo Out and About Cutlery Set of 8,32,2025-07 – 2025-09,8,23,5.0,164.9,2.164,Seasonal ETS
Sticker Set,21,2025-07 – 2025-09,5,15,3.3,168.1,0.935,Seasonal Index
Montiico insulated medium lunch bag,34,2025-07 – 2025-09,10,18,2.8,74.2,1.251,Seasonal ETS
Bento Five (Medium),29,2025-07 – 2025-09,13,12,0.4,17.3,0.202,Seasonal ETS
MontiiCo Original Smoothie Cup 450ml,26,2025-07 – 2025-09,29,8,9.3,84.5,5.525,Seasonal ETS
Multicolor Mini Silicone Cubes Set of 8,27,2025-07 – 2025-09,13,13,4.7,45.5,2.78,Seasonal ETS
Yumbox Sandwich Paper Wrap,27,2025-07 – 2025-09,7,12,3.7,68.1,1.621,Seasonal ETS
OmieChill,23,2025-07 – 2025-09,15,8,4.4,107.8,1.693,Seasonal Index
OmiePod Refill,23,2025-07 – 2025-09,15,14,1.0,18.2,0.377,Seasonal Index
Funny Monsters Silicone Condiment Squeeze,34,2025-07 – 2025-09,3,15,4.1,178.9,2.683,Seasonal ETS
Omiebox Thermos Lid,34,2025-07 – 2025-09,9,6,1.3,40.9,0.854,Seasonal ETS
