product_title,product_variant_title,year,month,year_month,times_bought,total_revenue,num_orders
Alphabet Busy Bag,Default Title,2024,3,2024-03-01,1,12.0,1
Alphabet Busy Bag,Default Title,2025,9,2025-09-01,1,0.0,1
Animal Matching Busy Bag,Default Title,2024,1,2024-01-01,0,0.0,1
Animal Matching Busy Bag,Default Title,2024,2,2024-02-01,1,10.81,1
Attipas Shoes,Natural Herb Pink / 3.5 Small,2024,8,2024-08-01,1,9.01,1
Attipas Shoes,Natural Herb Yellow / 5.5 Large,2024,11,2024-11-01,1,9.01,1
Attipas Shoes,Natural Herb Yellow / 6.5 X-Large,2024,12,2024-12-01,1,0.0,1
Attipas Shoes,Pink / 3.5 Small,2024,5,2024-05-01,0,0.0,1
Attipas Shoes,Rainbow / 6.5 X-Large,2025,4,2025-04-01,0,9.01,1
Avanchy Bamboo Baby Plate and Spoon,Blue,2023,1,2023-01-01,1,25.0,1
Avanchy Bamboo Baby Plate and Spoon,Blue,2023,5,2023-05-01,1,25.0,1
Avanchy Bamboo Baby Plate and Spoon,Green,2023,6,2023-06-01,1,25.0,1
Avanchy Bamboo Baby Plate and Spoon,Green,2023,12,2023-12-01,0,25.0,1
Avanchy Bamboo Baby Plate and Spoon,Green,2024,1,2024-01-01,2,36.0,2
Avanchy Bamboo Baby Plate and Spoon,Green,2024,3,2024-03-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Green,2025,1,2025-01-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Green,2025,2,2025-02-01,2,36.0,2
Avanchy Bamboo Baby Plate and Spoon,Orange,2022,9,2022-09-01,1,25.0,1
Avanchy Bamboo Baby Plate and Spoon,Orange,2024,1,2024-01-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Orange,2024,3,2024-03-01,2,18.0,2
Avanchy Bamboo Baby Plate and Spoon,Orange,2024,6,2024-06-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Orange,2024,7,2024-07-01,1,0.0,1
Avanchy Bamboo Baby Plate and Spoon,Orange,2025,3,2025-03-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Orange,2025,4,2025-04-01,2,36.0,2
Avanchy Bamboo Baby Plate and Spoon,Orange,2025,9,2025-09-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Pink,2022,8,2022-08-01,1,25.0,1
Avanchy Bamboo Baby Plate and Spoon,Yellow,2024,1,2024-01-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Yellow,2024,2,2024-02-01,3,54.0,3
Avanchy Bamboo Baby Plate and Spoon,Yellow,2024,7,2024-07-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Yellow,2024,8,2024-08-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Yellow,2024,9,2024-09-01,1,18.0,1
Avanchy Bamboo Baby Plate and Spoon,Yellow,2024,11,2024-11-01,1,0.0,2
Avanchy Bamboo Suction Bowl and Spoon,Blue,2024,1,2024-01-01,1,18.0,1
Avanchy Bamboo Suction Bowl and Spoon,Blue,2024,2,2024-02-01,1,18.0,1
Avanchy Bamboo Suction Bowl and Spoon,Blue,2024,3,2024-03-01,1,18.0,1
Avanchy Bamboo Suction Bowl and Spoon,Burgundy,2023,9,2023-09-01,1,25.0,1
Avanchy Bamboo Suction Bowl and Spoon,Green,2023,7,2023-07-01,1,20.0,1
Avanchy Bamboo Suction Bowl and Spoon,Green,2024,1,2024-01-01,1,18.0,2
