year_month,product_title,forecast_units,product_variant_title,mix_share,forecast_units_variant
2026-01-01,OmiePod fork & spoon set,24,Bubble Pink,0.3824884792626728,9
2026-01-01,OmiePod fork & spoon set,24,Capri Blue,0.1152073732718894,3
2026-01-01,OmiePod fork & spoon set,24,Lilac Purple,0.22580645161290322,5
2026-01-01,OmiePod fork & spoon set,24,Mint Green,0.06912442396313365,2
2026-01-01,OmiePod fork & spoon set,24,Sunrise Yellow,0.2073732718894009,5
2026-02-01,OmiePod fork & spoon set,12,Bubble Pink,0.3824884792626728,5
2026-02-01,OmiePod fork & spoon set,12,Capri Blue,0.1152073732718894,1
2026-02-01,OmiePod fork & spoon set,12,Lilac Purple,0.22580645161290322,3
2026-02-01,OmiePod fork & spoon set,12,Mint Green,0.06912442396313365,1
2026-02-01,OmiePod fork & spoon set,12,Sunrise Yellow,0.2073732718894009,2
2026-03-01,OmiePod fork & spoon set,14,Bubble Pink,0.3824884792626728,5
2026-03-01,OmiePod fork & spoon set,14,Capri Blue,0.1152073732718894,2
2026-03-01,OmiePod fork & spoon set,14,Lilac Purple,0.22580645161290322,3
2026-03-01,OmiePod fork & spoon set,14,Mint Green,0.06912442396313365,1
2026-03-01,OmiePod fork & spoon set,14,Sunrise Yellow,0.2073732718894009,3
2026-04-01,OmiePod fork & spoon set,25,Bubble Pink,0.3824884792626728,10
2026-04-01,OmiePod fork & spoon set,25,Capri Blue,0.1152073732718894,3
2026-04-01,OmiePod fork & spoon set,25,Lilac Purple,0.22580645161290322,6
2026-04-01,OmiePod fork & spoon set,25,Mint Green,0.06912442396313365,2
2026-04-01,OmiePod fork & spoon set,25,Sunrise Yellow,0.2073732718894009,5
2026-05-01,OmiePod fork & spoon set,15,Bubble Pink,0.3824884792626728,6
2026-05-01,OmiePod fork & spoon set,15,Capri Blue,0.1152073732718894,2
2026-05-01,OmiePod fork & spoon set,15,Lilac Purple,0.22580645161290322,3
2026-05-01,OmiePod fork & spoon set,15,Mint Green,0.06912442396313365,1
2026-05-01,OmiePod fork & spoon set,15,Sunrise Yellow,0.2073732718894009,3
2026-06-01,OmiePod fork & spoon set,16,Bubble Pink,0.3824884792626728,6
2026-06-01,OmiePod fork & spoon set,16,Capri Blue,0.1152073732718894,2
2026-06-01,OmiePod fork & spoon set,16,Lilac Purple,0.22580645161290322,4
2026-06-01,OmiePod fork & spoon set,16,Mint Green,0.06912442396313365,1
2026-06-01,OmiePod fork & spoon set,16,Sunrise Yellow,0.2073732718894009,3
2026-07-01,OmiePod fork & spoon set,18,Bubble Pink,0.3824884792626728,7
2026-07-01,OmiePod fork & spoon set,18,Capri Blue,0.1152073732718894,2
2026-07-01,OmiePod fork & spoon set,18,Lilac Purple,0.22580645161290322,4
2026-07-01,OmiePod fork & spoon set,18,Mint Green,0.06912442396313365,1
2026-07-01,OmiePod fork & spoon set,18,Sunrise Yellow,0.2073732718894009,4
2026-08-01,OmiePod fork & spoon set,94,Bubble Pink,0.3824884792626728,36
2026-08-01,OmiePod fork & spoon set,94,Capri Blue,0.1152073732718894,11
2026-08-01,OmiePod fork & spoon set,94,Lilac Purple,0.22580645161290322,21
2026-08-01,OmiePod fork & spoon set,94,Mint Green,0.06912442396313365,6
2026-08-01,OmiePod fork & spoon set,94,Sunrise Yellow,0.2073732718894009,19
2026-09-01,OmiePod fork & spoon set,103,Bubble Pink,0.3824884792626728,39
2026-09-01,OmiePod fork & spoon set,103,Capri Blue,0.1152073732718894,12
2026-09-01,OmiePod fork & spoon set,103,Lilac Purple,0.22580645161290322,23
2026-09-01,OmiePod fork & spoon set,103,Mint Green,0.06912442396313365,7
2026-09-01,OmiePod fork & spoon set,103,Sunrise Yellow,0.2073732718894009,21
2026-10-01,OmiePod fork & spoon set,26,Bubble Pink,0.3824884792626728,10
2026-10-01,OmiePod fork & spoon set,26,Capri Blue,0.1152073732718894,3
2026-10-01,OmiePod fork & spoon set,26,Lilac Purple,0.22580645161290322,6
2026-10-01,OmiePod fork & spoon set,26,Mint Green,0.06912442396313365,2
2026-10-01,OmiePod fork & spoon set,26,Sunrise Yellow,0.2073732718894009,5
2026-11-01,OmiePod fork & spoon set,16,Bubble Pink,0.3824884792626728,6
2026-11-01,OmiePod fork & spoon set,16,Capri Blue,0.1152073732718894,2
2026-11-01,OmiePod fork & spoon set,16,Lilac Purple,0.22580645161290322,4
2026-11-01,OmiePod fork & spoon set,16,Mint Green,0.06912442396313365,1
2026-11-01,OmiePod fork & spoon set,16,Sunrise Yellow,0.2073732718894009,3
2026-12-01,OmiePod fork & spoon set,15,Bubble Pink,0.3824884792626728,6
2026-12-01,OmiePod fork & spoon set,15,Capri Blue,0.1152073732718894,2
2026-12-01,OmiePod fork & spoon set,15,Lilac Purple,0.22580645161290322,3
2026-12-01,OmiePod fork & spoon set,15,Mint Green,0.06912442396313365,1
2026-12-01,OmiePod fork & spoon set,15,Sunrise Yellow,0.2073732718894009,3
2026-01-01,OmieDip (set of 2),20,Blue/Lime,0.13385826771653545,3
2026-01-01,OmieDip (set of 2),20,Blue/Mint,0.1732283464566929,3
2026-01-01,OmieDip (set of 2),20,Pink/Purple,0.14960629921259844,3
