product_title,total_revenue,total_units,months_active,cumulative_revenue,revenue_pct,cumulative_pct,product_rank,product_pct,abc_class
Omiebox Bentobox Pink Berry,28882.67,492,37,28882.67,7.810431419109921,7.810431419109921,1,0.6097560975609756,A
Omiebox Bentobox Blue Sky,24278.41,409,37,53161.08,6.565350650408446,14.375782069518367,2,1.2195121951219512,A
OmiePod fork & spoon set,20405.97,1160,41,73567.05,5.518168134227705,19.893950203746073,3,1.8292682926829267,A
OmieDip (set of 2),20042.92,1012,40,93609.97,5.4199924071668795,25.313942610912953,4,2.4390243902439024,A
Omiebox Bentobox Purple Plum,18083.0,291,37,111692.97,4.889992211653726,30.203934822566676,5,3.048780487804878,A
OmieBox Pastel,15032.77,215,5,126725.74,4.0651511485694725,34.26908597113616,6,3.6585365853658534,A
Yumbox Tapas 5 Compartments (Large),12811.6,292,34,139537.34,3.4645039107904037,37.733589881926555,7,4.2682926829268295,A
Omiebox Bentobox Green Meadow,11690.8,190,32,151228.13999999998,3.1614179587458593,40.895007840672406,8,4.878048780487805,A
MontiiCo 700ml Water Bottle,10738.22,289,28,161966.36,2.9038219414380504,43.79882978211046,9,5.487804878048781,A
Yumbox Panino 4 Compartments (Medium),9613.01,269,33,171579.37,2.5995434402781274,46.39837322238859,10,6.097560975609756,A
MontiiCo 475ml Water Bottle,9599.17,320,28,181178.54,2.5958008371586625,48.994174059547255,11,6.707317073170732,A
OmieBox UP,9243.029999999999,141,18,190421.57,2.499493707464565,51.49366776701182,12,7.317073170731707,A
OmieTote,8965.88,268,25,199387.45,2.424546998320074,53.918214765331896,13,7.926829268292683,A
Montiico Large insulated Lunch bag,8567.89,275,35,207955.34000000003,2.316922820898404,56.2351375862303,14,8.536585365853659,A
Yumbox Tapas 4 Compartments (Large),8285.19,188,32,216240.53000000003,2.2404752846359193,58.47561287086622,15,9.146341463414634,A
Name Customization,8278.02,488,31,224518.55000000002,2.238536378251052,60.71414924911728,16,9.75609756097561,A
MontiiCo Original Bottle 600ml,8273.14,240,20,232791.69,2.23721673206442,62.95136598118168,17,10.365853658536585,A
Yumbox Zuppa (spoon included),8183.8,236,31,240975.49,2.213057471754231,65.16442345293592,18,10.975609756097562,A
Yumbox Presto,7955.48,145,19,248930.97,2.151315337055078,67.315738789991,19,11.585365853658537,A
Montiico Backpack,7652.82,180,33,256583.79,2.0694702315538276,69.38520902154482,20,12.195121951219512,A
Yumbox Original 6 Compartments (Medium),7587.8,225,33,264171.59,2.0518875686327567,71.43709659017759,21,12.804878048780488,A
Omiebox Bentobox Yellow Sunshine,7369.91,128,31,271541.5,1.9929659072382298,73.43006249741582,22,13.414634146341465,A
OmieSnack,5192.25,328,35,276733.75,1.4040846132256293,74.83414711064145,23,14.02439024390244,A
OmieBottle,5189.8,259,23,281923.55,1.4034220859393078,76.23756919658075,24,14.634146341463413,A
Omiebox Bentobox Scooter Red,4692.599999999999,86,27,286616.14999999997,1.2689696097111247,77.50653880629187,25,15.24390243902439,A
OmiePod UP,4477.04,193,8,291093.18999999994,1.2106780252868548,78.71721683157872,26,15.853658536585366,A
Bento Three + (Large),4421.13,136,23,295514.31999999995,1.1955588821936978,79.9127757137724,27,16.463414634146343,A
ThermoFlask Water Bottle,4360.86,131,24,299875.17999999993,1.179260710950189,81.09203642472261,28,17.073170731707318,B
Yumbox Prêt,3954.0699999999997,70,5,303829.24999999994,1.069256843683772,82.16129326840638,29,17.682926829268293,B
Bento Three (Medium),3682.51,148,24,307511.75999999995,0.9958217784292961,83.15711504683567,30,18.29268292682927,B
MontiiCo 350ml Water Bottle,3148.66,143,28,310660.4199999999,0.8514584348363446,84.00857348167202,31,18.902439024390244,B
Yumbox Snack,3135.7,152,25,313796.11999999994,0.8479538007013541,84.85652728237336,32,19.51219512195122,B
Bento Five (Medium),1915.93,77,26,315712.04999999993,0.5181044504824267,85.37463173285579,33,20.121951219512198,B
Montiico insulated medium lunch bag,1730.57,80,22,317442.61999999994,0.46797952893444605,85.84261126179024,34,20.73170731707317,B
MontiiCo Mini Bottle 350ml,1668.18,78,12,319110.79999999993,0.4511080687737938,86.29371933056403,35,21.341463414634145,B
Reusable Food Storage Bags,1631.8400000000001,53,16,320742.63999999996,0.44128103139219244,86.73500036195622,36,21.951219512195124,B
Stix (Set of 4),1629.45,195,33,322372.08999999997,0.44063472926390335,87.17563509122014,37,22.5609756097561,B
MontiiCo Mega Drink Bottle 1L,1592.96,42,17,323965.05,0.43076712898722114,87.60640222020736,38,23.170731707317074,B
Silicone Cups (Set of 3),1572.3600000000001,189,28,325537.41,0.4251964913961097,88.03159871160346,39,23.78048780487805,B
OmieDip UP,1531.37,61,5,327068.77999999997,0.4141120042670002,88.44571071587046,40,24.390243902439025,B
Unknown,1500.96,245,36,328569.74,0.40588855333759755,88.85159926920807,41,25.0,B
Stix (Set of 7),1410.0,140,13,329979.74,0.38129121376053493,89.23289048296861,42,25.609756097560975,B
MontiiCo Insulated Food Jar,1314.63,67,10,331294.37,0.3555013250680937,89.5883918080367,43,26.21951219512195,B
OmieChill,1227.87,69,20,332522.24,0.33203974655329643,89.92043155459,44,26.82926829268293,B
Yumbox Sandwich Paper Wrap,1200.67,71,22,333722.91,0.3246843415786252,90.24511589616861,45,27.439024390243905,B
Bento Two (Small),1193.52,85,14,334916.43,0.3227508435797685,90.5678667397484,46,28.04878048780488,B
Mini Fork and Spoon (Set of 6),1158.58,122,26,336075.01,0.3133023932189224,90.88116913296732,47,28.65853658536585,B
Lunch Punch Set of 2 Sandwich Cutters,1087.8,108,19,337162.81,0.29416211512674456,91.17533124809405,48,29.268292682926827,B
OmieGo Bio (Set of 3),1063.79,29,15,338226.6,0.28766934772079394,91.46300059581485,49,29.878048780487802,B
Silicone Wrap Bands (Set of 5),1060.27,103,24,339286.87,0.2867174717828953,91.74971806759775,50,30.48780487804878,B
Silicone Cups,1050.08,120,20,340336.95,0.28396189911039893,92.03367996670815,51,31.097560975609756,B
Bento Five - Print (Medium),972.0,44,14,341308.95,0.2628475601242837,92.29652752683243,52,31.70731707317073,B
REUSABLE SANDWICH BAG - SET OF 2,955.8100000000001,58,16,342264.76,0.258469471648551,92.55499699848099,53,32.31707317073171,B
MontiiCo Mini Smoothie Cup 275ml,916.22,90,24,343180.98,0.2477635715401967,92.80276057002116,54,32.926829268292686,B
ThermoFlask Food Jar 591ml,891.9300000000001,31,4,344072.91,0.241195086730095,93.04395565675127,55,33.53658536585366,B
MontiiCo Bumper for Original and Mini bottles,883.73,279,22,344956.63999999996,0.23897764846567202,93.28293330521693,56,34.146341463414636,B
Omiebox divider,882.44,245,35,345839.07999999996,0.23862880756797622,93.5215621127849,57,34.756097560975604,B
Kids Raw Honey Baltic Amber Teething Necklace,842.28,40,27,346681.36,0.2277687684583144,93.74933088124322,58,35.36585365853659,B
Funny Monsters Silicone Condiment Squeeze,776.9,62,22,347458.26,0.21008875458904935,93.95941963583229,59,35.97560975609756,B
Laser Engraving,772.1899999999999,52,12,348230.45,0.20881507968350885,94.1682347155158,60,36.58536585365854,B
MontiiCo Out and About Cutlery Set of 8,746.03,83,21,348976.48000000004,0.20174091078139847,94.3699756262972,61,37.19512195121951,B
"Small Bumper -350ML, 475ML, 700ML",737.91,391,28,349714.39,0.19954510606101866,94.56952073235821,62,37.80487804878049,B
Multicolor Mini Silicone Cubes Set of 8,728.28,73,18,350442.67000000004,0.19694096819682436,94.76646170055506,63,38.41463414634146,B
ThermoFlask Tumbler,712.65,23,6,351155.32000000007,0.19271431452939375,94.95917601508445,64,39.02439024390244,B
MontiiCo Original Smoothie Cup 450ml,710.86,74,20,351866.18000000005,0.19223026398142828,95.15140627906588,65,39.63414634146341,C
Reusable Sandwich Bags,689.75,52,19,352555.93000000005,0.18652171254704183,95.33792799161291,66,40.243902439024396,C
OmiePod Refill,687.4,63,21,353243.3300000001,0.18588622719077427,95.5238142188037,67,40.853658536585364,C
MontiiCo 1L Screw Lid Bottle,675.67,12,7,353919.00000000006,0.18271420879544725,95.70652842759914,68,41.46341463414634,C
Mini Wellness Juice Bottles - Set of 6,660.46,54,13,354579.4600000001,0.1786011312342432,95.88512955883338,69,42.073170731707314,C
MontiiCo Mega Insulated Food Jar 500ml,648.66,11,6,355228.12000000005,0.17541018348787843,96.06053974232125,70,42.68292682926829,C
MontiiCo Icepack 2.0 Medium,620.4,42,14,355848.5200000001,0.16776813405463536,96.2283078763759,71,43.292682926829265,C
Yumbox Classic Lunch Bag,576.54,25,15,356425.06000000006,0.15590754353297787,96.38421541990887,72,43.90243902439025,C
Yumbox Sleeve Lunch Bag with Handles,544.21,34,15,356969.2700000001,0.1471648875465395,96.53138030745542,73,44.51219512195122,C
Avanchy Bamboo Baby Plate and Spoon,510.0,28,19,357479.2700000001,0.1379138432750871,96.6692941507305,74,45.1219512195122,C
Bento Two - Prints (Small),509.84,54,11,357989.1100000001,0.1378705761870008,96.80716472691752,75,45.73170731707317,C
Omiebox Lid Seal,489.41,113,23,358478.5200000001,0.13234590987698114,96.9395106367945,76,46.34146341463415,C
MontiiCo Regular Coffee Cup 350ml,487.2,34,13,358965.7200000001,0.1317482832227891,97.07125892001727,77,46.95121951219512,C
OmiePlate,467.76,13,6,359433.4800000001,0.1264913320203034,97.19775025203758,78,47.5609756097561,C
MontiiCo Drink Bottle Lid- Free Pour (Original Design),436.12,100,27,359869.6000000001,0.11793526535123723,97.31568551738881,79,48.170731707317074,C
MontiiCo Pencil Case,428.88,44,18,360298.4800000001,0.11597742961533207,97.43166294700416,80,48.78048780487805,C
Kids Raw Cognac Baltic Amber Teething Necklace,399.78999999999996,19,13,360698.2700000001,0.1081109321626413,97.53977387916679,81,49.390243902439025,C
MontiiCo 1.5L Screw Lid Bottle,391.88,16,9,361090.1500000001,0.10597191549537477,97.64574579466216,82,50.0,C
Sticker Set,373.90000000000003,82,22,361464.0500000001,0.10110977647167661,97.74685557113385,83,50.609756097560975,C
MontiiCo Coffee Cup,371.10999999999996,19,9,361835.1600000001,0.10035530662317171,97.84721087775702,84,51.21951219512195,C
Yumbox Aqua Water Bottle,352.56,13,3,362187.7200000001,0.09533902859816609,97.94254990635518,85,51.829268292682926,C
Feast Lunchbox,342.33,4,1,362530.0500000001,0.09257263915364818,98.03512254550884,86,52.4390243902439,C
MontiiCo Mega Coffee Cup 475ml,322.02,21,12,362852.0700000001,0.08708042315969322,98.12220296866853,87,53.04878048780488,C
Mini Insulated Food Jar,308.12,6,2,363160.1900000001,0.08332159488219576,98.20552456355072,88,53.65853658536586,C
Avanchy Bamboo Suction Bowl and Spoon,305.15,16,12,363465.34000000014,0.08251844955959377,98.28804301311033,89,54.268292682926834,C
Insulated Food Jar,297.31,7,1,363762.65000000014,0.080398362243365,98.36844137535368,90,54.87804878048781,C
MontiiCo Dip & Sauce Surprise Box,278.46,39,18,364041.11000000016,0.07530095842819756,98.4437423337819,91,55.487804878048784,C
MontiiCo Drink Bottle Lid (Old Design),273.86,125,28,364314.97000000015,0.07405702964571638,98.5177993634276,92,56.09756097560976,C
Lunch Punch Christmas Bento Fun Set,269.39,14,8,364584.36000000016,0.07284825537230533,98.59064761879992,93,56.70731707317073,C
Kids Raw Rainbow Baltic Amber Teething Necklace,261.26,11,8,364845.62000000017,0.07064974645892011,98.66129736525883,94,57.3170731707317,C
Omiebox Thermos Lid,259.51,59,28,365105.1300000002,0.07017651268297617,98.73147387794182,95,57.92682926829268,C
Unicorn Silicone Condiment Squeeze Bottles,247.67,33,13,365352.80000000016,0.06697474816458984,98.7984486261064,96,58.536585365853654,C
Yumbox Poke Bowl,237.84,11,5,365590.6400000002,0.06431652644028768,98.8627651525467,97,59.14634146341463,C
